period,sex,value,measure,sex_label,measure_label
2019,M,126.29787236722733,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2019,F,48.17079970343532,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2020,M,124.11538585358954,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2020,F,49.57975442581634,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2021,M,122.18640531729805,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2021,F,51.03172281861618,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2022,M,119.965020726118,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2022,F,51.25201490682609,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
1998,M,150.86041227408373,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
1998,F,19.592233541011154,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
1999,M,142.02230815831172,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
1999,F,17.620878826723903,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2000,M,144.12766044398285,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2000,F,19.8028165930826,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2001,M,146.79413368849288,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2001,F,19.717240655454773,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2002,M,145.02343122427467,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2002,F,20.34513248560516,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2003,M,143.09436545862928,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2003,F,23.57539762694348,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2004,M,130.23793526189007,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2004,F,23.58969810538454,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2005,M,137.58544307037366,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2005,F,22.39487603794638,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2006,M,135.44129626437933,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2006,F,21.601694909148637,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2007,M,133.04577590143825,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2007,F,25.553722695520825,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2008,M,133.12155178697748,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2008,F,30.838867862383232,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2009,M,136.4383233756296,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2009,F,26.094096822824177,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2010,M,132.45674276547547,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2010,F,28.985645548719642,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2011,M,126.30147944419245,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2011,F,29.302482111557257,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2012,M,120.13581294713937,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2012,F,29.610488604842857,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2013,M,122.33022807882104,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2013,F,32.55134543775174,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2014,M,127.65568328213445,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2014,F,35.703584404344355,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2015,M,121.27237051025516,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2015,F,38.267465499248516,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2016,M,117.6360664768421,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2016,F,39.79958832348143,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2017,M,116.17664881186025,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2017,F,34.62959254653157,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2018,M,118.00742562913554,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2018,F,39.449444929215936,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2019,M,119.02721250396382,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2019,F,44.09041906124058,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2020,M,107.16098032151642,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2020,F,44.55310528239104,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2021,M,100.00008951453327,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2021,F,41.85157794513126,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
2022,M,101.6021815383897,Lung-cancer mortality rate,Male,Lung-cancer mortality rate
2022,F,40.987817836331025,Lung-cancer mortality rate,Female,Lung-cancer mortality rate
