reliability,n_cells,avg_support_frac,min_support_frac,n_clamped_period,n_edge_cohort,sex,seed,dgp,scenario
Caution,178,0.418876404494382,0.36,178,0,M,1,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,1,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,1,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,1,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,1,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,1,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,1,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,1,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,1,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,1,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,1,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,1,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,1,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,1,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,1,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,1,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,1,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,1,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,1,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,1,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,1,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,1,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,1,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,1,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,1,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,1,spec_linear,quit
Historical,1375,NA,NA,0,0,M,1,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,1,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,1,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,1,spec_linear,quit
Historical,1375,NA,NA,0,0,F,1,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,1,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,2,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,2,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,2,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,2,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,2,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,2,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,2,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,2,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,2,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,2,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,2,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,2,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,2,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,2,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,2,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,2,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,2,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,2,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,2,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,2,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,2,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,2,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,2,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,2,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,2,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,2,spec_linear,quit
Historical,1375,NA,NA,0,0,M,2,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,2,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,2,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,2,spec_linear,quit
Historical,1375,NA,NA,0,0,F,2,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,2,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,3,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,3,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,3,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,3,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,3,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,3,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,3,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,3,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,3,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,3,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,3,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,3,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,3,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,3,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,3,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,3,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,3,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,3,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,3,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,3,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,3,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,3,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,3,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,3,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,3,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,3,spec_linear,quit
Historical,1375,NA,NA,0,0,M,3,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,3,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,3,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,3,spec_linear,quit
Historical,1375,NA,NA,0,0,F,3,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,3,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,4,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,4,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,4,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,4,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,4,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,4,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,4,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,4,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,4,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,4,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,4,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,4,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,4,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,4,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,4,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,4,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,4,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,4,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,4,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,4,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,4,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,4,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,4,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,4,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,4,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,4,spec_linear,quit
Historical,1375,NA,NA,0,0,M,4,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,4,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,4,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,4,spec_linear,quit
Historical,1375,NA,NA,0,0,F,4,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,4,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,5,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,5,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,5,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,5,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,5,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,5,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,5,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,5,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,5,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,5,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,5,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,5,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,5,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,5,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,5,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,5,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,5,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,5,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,5,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,5,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,5,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,5,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,5,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,5,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,5,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,5,spec_linear,quit
Historical,1375,NA,NA,0,0,M,5,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,5,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,5,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,5,spec_linear,quit
Historical,1375,NA,NA,0,0,F,5,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,5,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,6,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,6,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,6,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,6,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,6,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,6,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,6,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,6,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,6,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,6,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,6,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,6,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,6,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,6,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,6,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,6,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,6,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,6,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,6,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,6,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,6,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,6,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,6,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,6,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,6,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,6,spec_linear,quit
Historical,1375,NA,NA,0,0,M,6,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,6,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,6,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,6,spec_linear,quit
Historical,1375,NA,NA,0,0,F,6,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,6,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,7,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,7,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,7,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,7,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,7,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,7,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,7,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,7,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,7,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,7,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,7,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,7,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,7,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,7,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,7,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,7,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,7,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,7,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,7,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,7,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,7,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,7,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,7,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,7,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,7,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,7,spec_linear,quit
Historical,1375,NA,NA,0,0,M,7,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,7,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,7,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,7,spec_linear,quit
Historical,1375,NA,NA,0,0,F,7,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,7,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,8,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,8,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,8,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,8,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,8,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,8,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,8,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,8,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,8,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,8,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,8,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,8,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,8,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,8,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,8,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,8,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,8,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,8,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,8,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,8,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,8,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,8,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,8,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,8,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,8,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,8,spec_linear,quit
Historical,1375,NA,NA,0,0,M,8,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,8,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,8,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,8,spec_linear,quit
Historical,1375,NA,NA,0,0,F,8,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,8,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,9,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,9,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,9,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,9,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,9,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,9,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,9,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,9,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,9,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,9,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,9,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,9,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,9,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,9,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,9,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,9,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,9,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,9,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,9,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,9,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,9,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,9,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,9,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,9,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,9,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,9,spec_linear,quit
Historical,1375,NA,NA,0,0,M,9,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,9,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,9,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,9,spec_linear,quit
Historical,1375,NA,NA,0,0,F,9,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,9,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,10,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,10,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,10,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,10,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,10,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,10,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,10,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,10,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,10,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,10,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,10,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,10,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,10,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,10,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,10,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,10,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,10,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,10,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,10,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,10,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,10,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,10,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,10,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,10,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,10,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,10,spec_linear,quit
Historical,1375,NA,NA,0,0,M,10,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,10,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,10,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,10,spec_linear,quit
Historical,1375,NA,NA,0,0,F,10,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,10,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,11,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,11,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,11,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,11,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,11,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,11,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,11,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,11,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,11,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,11,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,11,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,11,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,11,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,11,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,11,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,11,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,11,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,11,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,11,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,11,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,11,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,11,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,11,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,11,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,11,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,11,spec_linear,quit
Historical,1375,NA,NA,0,0,M,11,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,11,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,11,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,11,spec_linear,quit
Historical,1375,NA,NA,0,0,F,11,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,11,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,M,12,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,M,12,spec_linear,freeze
Historical,1375,NA,NA,0,0,M,12,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,M,12,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,F,12,spec_linear,freeze
Credible,903,0.8675526024363234,0.52,903,0,F,12,spec_linear,freeze
Historical,1375,NA,NA,0,0,F,12,spec_linear,freeze
Risky,1559,0.07430404105195638,0.04,1559,1176,F,12,spec_linear,freeze
Caution,178,0.418876404494382,0.36,178,0,M,12,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,M,12,spec_linear,up1pc
Historical,1375,NA,NA,0,0,M,12,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,12,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,F,12,spec_linear,up1pc
Credible,903,0.8675526024363234,0.52,903,0,F,12,spec_linear,up1pc
Historical,1375,NA,NA,0,0,F,12,spec_linear,up1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,12,spec_linear,up1pc
Caution,178,0.418876404494382,0.36,178,0,M,12,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,M,12,spec_linear,down1pc
Historical,1375,NA,NA,0,0,M,12,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,M,12,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,F,12,spec_linear,down1pc
Credible,903,0.8675526024363234,0.52,903,0,F,12,spec_linear,down1pc
Historical,1375,NA,NA,0,0,F,12,spec_linear,down1pc
Risky,1559,0.07430404105195638,0.04,1559,1176,F,12,spec_linear,down1pc
Caution,178,0.418876404494382,0.36,178,0,M,12,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,M,12,spec_linear,quit
Historical,1375,NA,NA,0,0,M,12,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,M,12,spec_linear,quit
Caution,178,0.418876404494382,0.36,178,0,F,12,spec_linear,quit
Credible,903,0.8675526024363234,0.52,903,0,F,12,spec_linear,quit
Historical,1375,NA,NA,0,0,F,12,spec_linear,quit
Risky,1559,0.07430404105195638,0.04,1559,1176,F,12,spec_linear,quit
