sex,hist_bias,proj_bias,seed,dgp,scenario
M,0.42276073151660387,7.467527741104849,40,spec_linear,quit
F,-0.36263169865601247,20.131201695627155,40,spec_linear,quit
M,0.0635830301239974,29.841894291898853,41,spec_linear,freeze
F,-0.18696169782509242,30.16775257680243,41,spec_linear,freeze
M,0.0635830301239974,32.2155383565309,41,spec_linear,up1pc
F,-0.18696169782509242,31.719449659290294,41,spec_linear,up1pc
M,0.0635830301239974,27.849485384700802,41,spec_linear,down1pc
F,-0.18696169782509242,29.05718804640061,41,spec_linear,down1pc
M,0.0635830301239974,22.155194810473837,41,spec_linear,quit
F,-0.18696169782509242,27.157561239325528,41,spec_linear,quit
M,0.25253092199638894,12.696823852342163,42,spec_linear,freeze
F,0.08425332676379632,4.747586816395525,42,spec_linear,freeze
M,0.25253092199638894,13.689133130131108,42,spec_linear,up1pc
F,0.08425332676379632,5.184669454222478,42,spec_linear,up1pc
M,0.25253092199638894,11.867586004844577,42,spec_linear,down1pc
F,0.08425332676379632,4.332323570922655,42,spec_linear,down1pc
M,0.25253092199638894,13.074693420799715,42,spec_linear,quit
F,0.08425332676379632,5.600910878809432,42,spec_linear,quit
M,-0.17241703028806604,7.588906587758343,43,spec_linear,freeze
F,0.120410581734614,9.763114562435213,43,spec_linear,freeze
M,-0.17241703028806604,8.297427550041535,43,spec_linear,up1pc
F,0.120410581734614,10.422530738521397,43,spec_linear,up1pc
M,-0.17241703028806604,7.109042604092809,43,spec_linear,down1pc
F,0.120410581734614,9.195351147428791,43,spec_linear,down1pc
M,-0.17241703028806604,4.74027625172765,43,spec_linear,quit
F,0.120410581734614,8.023000320294882,43,spec_linear,quit
M,0.7496931943130565,-11.024972227945575,44,spec_linear,freeze
F,-0.662709501694912,-9.615486470143749,44,spec_linear,freeze
M,0.7496931943130565,-11.049191982233426,44,spec_linear,up1pc
F,-0.662709501694912,-9.908975636099562,44,spec_linear,up1pc
M,0.7496931943130565,-10.88367444930705,44,spec_linear,down1pc
F,-0.662709501694912,-9.285962092597625,44,spec_linear,down1pc
M,0.7496931943130565,-7.515702089109398,44,spec_linear,quit
F,-0.662709501694912,-5.3182863600423715,44,spec_linear,quit
M,-0.29735705695671977,8.719151405826626,45,spec_linear,freeze
F,0.5075585623769584,5.356828918943362,45,spec_linear,freeze
M,-0.29735705695671977,9.266251953797111,45,spec_linear,up1pc
F,0.5075585623769584,5.424987042149877,45,spec_linear,up1pc
M,-0.29735705695671977,8.322780850474077,45,spec_linear,down1pc
F,0.5075585623769584,5.380730809669568,45,spec_linear,down1pc
M,-0.29735705695671977,11.966433859161562,45,spec_linear,quit
F,0.5075585623769584,8.273462893908796,45,spec_linear,quit
M,0.22209932068388646,11.389111932521706,46,spec_linear,freeze
F,-0.34733354412731954,25.372911433940402,46,spec_linear,freeze
M,0.22209932068388646,12.328193209932808,46,spec_linear,up1pc
F,-0.34733354412731954,26.8783124158372,46,spec_linear,up1pc
M,0.22209932068388646,10.710121100893122,46,spec_linear,down1pc
F,-0.34733354412731954,24.066689477546674,46,spec_linear,down1pc
M,0.22209932068388646,12.046098921936174,46,spec_linear,quit
F,-0.34733354412731954,20.825837665765125,46,spec_linear,quit
M,-0.06634034597937732,-15.959844773248815,47,spec_linear,freeze
F,-0.8601973131381977,-9.535297715449307,47,spec_linear,freeze
M,-0.06634034597937732,-16.39046249419347,47,spec_linear,up1pc
F,-0.8601973131381977,-9.592533367653354,47,spec_linear,up1pc
M,-0.06634034597937732,-15.623380647448164,47,spec_linear,down1pc
F,-0.8601973131381977,-9.334642686425573,47,spec_linear,down1pc
M,-0.06634034597937732,-10.89814846607186,47,spec_linear,quit
F,-0.8601973131381977,-6.602062174167411,47,spec_linear,quit
M,0.5581430809379152,-0.4630081481280499,48,spec_linear,freeze
F,0.5376656833955668,-3.827074880639326,48,spec_linear,freeze
M,0.5581430809379152,-0.5554729301741933,48,spec_linear,up1pc
F,0.5376656833955668,-4.10826421287377,48,spec_linear,up1pc
M,0.5581430809379152,-0.15100557556389535,48,spec_linear,down1pc
F,0.5376656833955668,-3.72878497031141,48,spec_linear,down1pc
M,0.5581430809379152,-0.6964882652801297,48,spec_linear,quit
F,0.5376656833955668,-3.779464444775284,48,spec_linear,quit
M,-0.053326327327135756,-6.171491210088636,49,spec_linear,freeze
F,-0.01894701201835921,5.1879952404494345,49,spec_linear,freeze
M,-0.053326327327135756,-6.326323620001273,49,spec_linear,up1pc
F,-0.01894701201835921,5.310101279266872,49,spec_linear,up1pc
M,-0.053326327327135756,-5.678460868420625,49,spec_linear,down1pc
F,-0.01894701201835921,5.144299978814006,49,spec_linear,down1pc
M,-0.053326327327135756,-2.194103887272677,49,spec_linear,quit
F,-0.01894701201835921,4.983528998295108,49,spec_linear,quit
M,-0.27049541976643837,0.9396274889382458,50,spec_linear,freeze
F,-0.6852278460473257,1.000853967135005,50,spec_linear,freeze
M,-0.27049541976643837,1.8711138467160129,50,spec_linear,up1pc
F,-0.6852278460473257,0.6293678079603136,50,spec_linear,up1pc
M,-0.27049541976643837,0.1266749343607012,50,spec_linear,down1pc
F,-0.6852278460473257,1.3715222776765972,50,spec_linear,down1pc
M,-0.27049541976643837,0.4055688136989734,50,spec_linear,quit
F,-0.6852278460473257,6.231292012996422,50,spec_linear,quit
M,0.3447209610138877,-9.16145518353821,51,spec_linear,freeze
F,0.6193746572966399,-3.9650335842374327,51,spec_linear,freeze
M,0.3447209610138877,-9.4805062759389,51,spec_linear,up1pc
F,0.6193746572966399,-4.1981713290052465,51,spec_linear,up1pc
M,0.3447209610138877,-8.74422662579072,51,spec_linear,down1pc
F,0.6193746572966399,-3.746602300760571,51,spec_linear,down1pc
M,0.3447209610138877,-4.612231209168069,51,spec_linear,quit
F,0.6193746572966399,0.12432026136421799,51,spec_linear,quit
M,-0.1941722327890536,1.4173351640461933,52,spec_linear,freeze
F,0.12953306517301846,-3.229222107099044,52,spec_linear,freeze
M,-0.1941722327890536,1.7028755801952313,52,spec_linear,up1pc
F,0.12953306517301846,-3.474415418718615,52,spec_linear,up1pc
M,-0.1941722327890536,1.3649649781712982,52,spec_linear,down1pc
F,0.12953306517301846,-3.0099376845094183,52,spec_linear,down1pc
M,-0.1941722327890536,3.3735716217866774,52,spec_linear,quit
F,0.12953306517301846,0.7727810519616268,52,spec_linear,quit
M,0.09930959060379019,11.597679154463979,53,spec_linear,freeze
F,0.027116805381312798,4.235976173219718,53,spec_linear,freeze
M,0.09930959060379019,12.412144162729547,53,spec_linear,up1pc
F,0.027116805381312798,4.911690047683985,53,spec_linear,up1pc
M,0.09930959060379019,11.396706043775977,53,spec_linear,down1pc
F,0.027116805381312798,3.7982260562410053,53,spec_linear,down1pc
M,0.09930959060379019,5.956861628277558,53,spec_linear,quit
F,0.027116805381312798,2.2737585778038545,53,spec_linear,quit
M,-0.3474925932117946,-5.846975816269748,54,spec_linear,freeze
F,-0.3271611139299112,-2.943251464838638,54,spec_linear,freeze
