age,period,cohort,sex,inst,y_eff,neff
59,2022,1963,M,30d,58,247
59,2022,1963,F,30d,67,311
60,2022,1962,M,30d,59,235
60,2022,1962,F,30d,59,297
61,2022,1961,M,30d,59,234
61,2022,1961,F,30d,47,266
62,2022,1960,M,30d,45,234
62,2022,1960,F,30d,42,270
63,2022,1959,M,30d,48,226
63,2022,1959,F,30d,54,282
64,2022,1958,M,30d,48,210
64,2022,1958,F,30d,43,258
65,2022,1957,M,30d,33,188
65,2022,1957,F,30d,46,266
