causa,mujer,edad,anio,casos
cavidad oral y faringe,0,4,2014,0
cavidad oral y faringe,0,4,2015,0
cavidad oral y faringe,0,4,2016,0
cavidad oral y faringe,0,4,2017,0.05795124657889762
cavidad oral y faringe,0,4,2018,0.08189713116825305
cavidad oral y faringe,0,4,2019,0.08819336585526023
cavidad oral y faringe,0,4,2020,0.09467538246675229
cavidad oral y faringe,0,4,2021,0.10266263377793795
cavidad oral y faringe,0,4,2022,0.09139637123312744
cavidad oral y faringe,0,5,1998,0.16772751622794596
cavidad oral y faringe,0,5,1999,0.14223466621359526
cavidad oral y faringe,0,5,2000,0.11953491417544415
cavidad oral y faringe,0,5,2001,0.09962826011349257
cavidad oral y faringe,0,5,2002,0.06479021888229403
cavidad oral y faringe,0,5,2003,0.053545851877103035
cavidad oral y faringe,0,5,2004,0.044494614343440216
cavidad oral y faringe,0,5,2005,0.03684203380457265
cavidad oral y faringe,0,5,2006,0.026981489003055376
cavidad oral y faringe,0,5,2007,0.030287504778573046
cavidad oral y faringe,0,5,2008,0.0260361761265358
cavidad oral y faringe,0,5,2009,0.02503190406663462
cavidad oral y faringe,0,5,2010,0.024620978701822567
cavidad oral y faringe,0,5,2011,0.025196424610021816
cavidad oral y faringe,0,5,2012,0.022808116356869638
cavidad oral y faringe,0,5,2013,0.021808471777910572
cavidad oral y faringe,0,5,2014,0.022241125332411023
cavidad oral y faringe,0,5,2015,0.025020730443652266
cavidad oral y faringe,0,5,2016,0.04088128769283683
cavidad oral y faringe,0,5,2017,0.044485013884998675
cavidad oral y faringe,0,5,2018,0.04851193830148553
cavidad oral y faringe,0,5,2019,0.04748014664926983
cavidad oral y faringe,0,5,2020,0.05038972472533269
cavidad oral y faringe,0,5,2021,0.05434100503081953
cavidad oral y faringe,0,5,2022,0.06943600846472267
cavidad oral y faringe,0,6,1998,0.18131913161824878
cavidad oral y faringe,0,6,1999,0.15124070746747725
cavidad oral y faringe,0,6,2000,0.12465191715946246
cavidad oral y faringe,0,6,2001,0.10155276069420437
cavidad oral y faringe,0,6,2002,0.06434150607635578
cavidad oral y faringe,0,6,2003,0.051684233233847965
cavidad oral y faringe,0,6,2004,0.041767007067327264
cavidad oral y faringe,0,6,2005,0.03388979592713673
cavidad oral y faringe,0,6,2006,0.02614120880029402
cavidad oral y faringe,0,6,2007,0.03696398661534486
cavidad oral y faringe,0,6,2008,0.03667506961939458
cavidad oral y faringe,0,6,2009,0.0364222170068491
cavidad oral y faringe,0,6,2010,0.0360411856189979
cavidad oral y faringe,0,6,2011,0.03588473743760534
cavidad oral y faringe,0,6,2012,0.03169601139430751
cavidad oral y faringe,0,6,2013,0.031193027897830253
cavidad oral y faringe,0,6,2014,0.03230002819044743
cavidad oral y faringe,0,6,2015,0.03596886478720711
cavidad oral y faringe,0,6,2016,0.04738488127351656
cavidad oral y faringe,0,6,2017,0.03745472201798003
cavidad oral y faringe,0,6,2018,0.035594378141971555
cavidad oral y faringe,0,6,2019,0.03408081972928447
cavidad oral y faringe,0,6,2020,0.03585973014118033
cavidad oral y faringe,0,6,2021,0.03822366947524911
cavidad oral y faringe,0,6,2022,0.048346732892480274
cavidad oral y faringe,0,7,1998,0.19447361546478603
cavidad oral y faringe,0,7,1999,0.15963134239673932
cavidad oral y faringe,0,7,2000,0.1289752390380065
cavidad oral y faringe,0,7,2001,0.10250530538858763
cavidad oral y faringe,0,7,2002,0.06298963670493012
cavidad oral y faringe,0,7,2003,0.04877947737306487
cavidad oral y faringe,0,7,2004,0.03785628192164565
cavidad oral y faringe,0,7,2005,0.030005941330895125
cavidad oral y faringe,0,7,2006,0.026012705909103075
cavidad oral y faringe,0,7,2007,0.04222819288089446
cavidad oral y faringe,0,7,2008,0.04511306263248392
cavidad oral y faringe,0,7,2009,0.04623355480370929
cavidad oral y faringe,0,7,2010,0.04587135829055223
cavidad oral y faringe,0,7,2011,0.04492587828868334
cavidad oral y faringe,0,7,2012,0.03996636694574287
cavidad oral y faringe,0,7,2013,0.039596352028990915
cavidad oral y faringe,0,7,2014,0.041053998267376886
cavidad oral y faringe,0,7,2015,0.04423297067878028
cavidad oral y faringe,0,7,2016,0.046310532932709904
cavidad oral y faringe,0,7,2017,0.03267435553019825
cavidad oral y faringe,0,7,2018,0.031132301629474203
cavidad oral y faringe,0,7,2019,0.03087341912589561
cavidad oral y faringe,0,7,2020,0.03204830400021743
cavidad oral y faringe,0,7,2021,0.033361468325037634
cavidad oral y faringe,0,7,2022,0.0413033744053109
cavidad oral y faringe,0,8,1998,0.19811922276733773
cavidad oral y faringe,0,8,1999,0.16099083925643395
cavidad oral y faringe,0,8,2000,0.12835157325145863
cavidad oral y faringe,0,8,2001,0.10020142475241103
cavidad oral y faringe,0,8,2002,0.060099214115028464
cavidad oral y faringe,0,8,2003,0.04504550355684528
cavidad oral y faringe,0,8,2004,0.03351663028947329
cavidad oral y faringe,0,8,2005,0.025744470611152957
cavidad oral y faringe,0,8,2006,0.02369045844504476
cavidad oral y faringe,0,8,2007,0.0428433402085765
cavidad oral y faringe,0,8,2008,0.05005024993005054
cavidad oral y faringe,0,8,2009,0.05421483324618833
cavidad oral y faringe,0,8,2010,0.05331366101749294
cavidad oral y faringe,0,8,2011,0.05125065987591511
cavidad oral y faringe,0,8,2012,0.04476933691853933
cavidad oral y faringe,0,8,2013,0.04439713754907455
cavidad oral y faringe,0,8,2014,0.047819403018879096
cavidad oral y faringe,0,8,2015,0.05140203096778622
cavidad oral y faringe,0,8,2016,0.05217166023660797
cavidad oral y faringe,0,8,2017,0.03677694649634284
cavidad oral y faringe,0,8,2018,0.03554161173595153
cavidad oral y faringe,0,8,2019,0.03570362650258408
cavidad oral y faringe,0,8,2020,0.03725161510598507
cavidad oral y faringe,0,8,2021,0.038526731156236206
cavidad oral y faringe,0,8,2022,0.04741075742007546
cavidad oral y faringe,0,9,1998,0.19230648459359823
cavidad oral y faringe,0,9,1999,0.15519245154763822
cavidad oral y faringe,0,9,2000,0.1224768957342697
cavidad oral y faringe,0,9,2001,0.09415981715349195
cavidad oral y faringe,0,9,2002,0.055153124527406935
cavidad oral y faringe,0,9,2003,0.03982600036255498
cavidad oral y faringe,0,9,2004,0.027952543104783904
cavidad oral y faringe,0,9,2005,0.01996546195808754
cavidad oral y faringe,0,9,2006,0.01888459077455608
cavidad oral y faringe,0,9,2007,0.0383155379087997
cavidad oral y faringe,0,9,2008,0.04971651984564509
cavidad oral y faringe,0,9,2009,0.04637447254454823
cavidad oral y faringe,0,9,2010,0.041787397575094025
cavidad oral y faringe,0,9,2011,0.03460109636958673
cavidad oral y faringe,0,9,2012,0.027746944884956732
cavidad oral y faringe,0,9,2013,0.03613488224579719
cavidad oral y faringe,0,9,2014,0.054748528492243806
cavidad oral y faringe,0,9,2015,0.0592756502237895
cavidad oral y faringe,0,9,2016,0.05907165946173569
cavidad oral y faringe,0,9,2017,0.0414346759914958
cavidad oral y faringe,0,9,2018,0.040680430182001945
cavidad oral y faringe,0,9,2019,0.04622213906996042
cavidad oral y faringe,0,9,2020,0.04964040148898308
cavidad oral y faringe,0,9,2021,0.051710825562064085
cavidad oral y faringe,0,9,2022,0.06406259907919343
cavidad oral y faringe,0,10,1998,0.1874733072183749
cavidad oral y faringe,0,10,1999,0.15028843238170858
cavidad oral y faringe,0,10,2000,0.11741139450429704
cavidad oral y faringe,0,10,2001,0.08884219358613953
cavidad oral y faringe,0,10,2002,0.04892544838245645
cavidad oral y faringe,0,10,2003,0.03380896163392263
cavidad oral y faringe,0,10,2004,0.021956026252047265
cavidad oral y faringe,0,10,2005,0.013861106659879758
cavidad oral y faringe,0,10,2006,0.012988481249388678
cavidad oral y faringe,0,10,2007,0
cavidad oral y faringe,0,10,2008,0
cavidad oral y faringe,0,10,2009,0
cavidad oral y faringe,0,10,2010,0
cavidad oral y faringe,0,10,2011,0
cavidad oral y faringe,0,10,2012,0.00752644591490406
cavidad oral y faringe,0,10,2013,0.041541594678219614
cavidad oral y faringe,0,10,2014,0.06817151381026987
cavidad oral y faringe,0,10,2015,0.07168009105598967
cavidad oral y faringe,0,10,2016,0.07030631697442301
cavidad oral y faringe,0,10,2017,0.06608873034521824
cavidad oral y faringe,0,10,2018,0.07599017563791291
cavidad oral y faringe,0,10,2019,0.09163653340381321
cavidad oral y faringe,0,10,2020,0.098148592300818
cavidad oral y faringe,0,10,2021,0.10274037769413939
cavidad oral y faringe,0,10,2022,0.09109927680654413
cavidad oral y faringe,0,11,1998,0.1890954128076272
cavidad oral y faringe,0,11,1999,0.15178594440814178
cavidad oral y faringe,0,11,2000,0.11869367269457462
cavidad oral y faringe,0,11,2001,0.08981859766692497
cavidad oral y faringe,0,11,2002,0.04936476394480928
