sex,sex_label,scenario,scenario_label,baseline,postdx_early,postdx_late,reversal_fast,reversal_slow,rr_high,rr_low
M,Male,freeze,Frozen at 2022,20837.119781884412,20917.36987000781,20634.590570571483,20936.1090907085,20716.218453779686,20787.999346643253,20894.64005986724
M,Male,quit,Quit,12833.918735142284,12861.041410679265,12779.133618605216,11852.046902887278,14024.974470556223,12579.060014834353,13133.323498795235
F,Female,freeze,Frozen at 2022,13150.886220327116,13213.576137653665,13025.860183407787,13154.361561510133,13162.196707699426,13054.361491802136,13264.233454728492
F,Female,quit,Quit,9000.703184629107,9037.670561655275,8933.473130991519,8518.259028533246,9615.705654180998,8677.711677946094,9366.652346655555
